Thread ID,Start Time,End Time,Duration (s),URL Number,URL Total Size (KB)
T0,00:23:14.622,00:23:15.938,1.316,5,134.59
T1,00:23:14.626,00:23:16.062,1.436,5,140.39
T2,00:23:14.631,00:23:16.294,1.663,5,133.18
T3,00:23:14.651,00:23:16.268,1.616,6,159.8
T4,00:23:14.668,00:23:15.969,1.301,4,135.4
T5,00:23:14.729,00:23:16.304,1.575,5,171.75
T6,00:23:14.739,00:23:16.001,1.262,6,147.48
T7,00:23:14.756,00:23:16.269,1.512,6,138.53
T8,00:23:14.777,00:23:15.922,1.145,3,124.24
T9,00:23:14.791,00:23:16.091,1.300,5,128.89
