ID,URL,Text Size (KB)
1,https://www.cnblogs.com/guoxiaoyu/p/18164602,21.11
2,https://www.cnblogs.com/jzcn/p/18163898,41.13
3,https://www.cnblogs.com/ruipeng/p/18163423,29.7
4,https://www.cnblogs.com/huaweiyun/p/18164996,29.47
5,https://www.cnblogs.com/yucloud/p/18162832/Linux_kernel_driver_SPI,58.17
6,https://www.cnblogs.com/Can-daydayup/p/18164905,26.28
7,https://www.cnblogs.com/JavaBuild/p/18164898,23.12
8,https://www.cnblogs.com/evesama/p/18164775,17.48
9,https://www.cnblogs.com/tcjiaan/p/18163320,42.33
10,https://www.cnblogs.com/xiaowange/p/18164407,19.84
11,https://www.cnblogs.com/edisonfish/p/18164319,20.77
12,https://www.cnblogs.com/Java3y/p/18164221,19.12
13,https://www.cnblogs.com/charlieroro/p/18128412,53.13
14,https://www.cnblogs.com/mengrennwpu/p/18164027,32.55
15,https://www.cnblogs.com/lubians/p/18164001,22.67
16,https://www.cnblogs.com/yunqishequ/p/18163905,27.22
17,https://www.cnblogs.com/wuhanjiayou/p/18163708/moments,21.55
18,https://www.cnblogs.com/BNTang/p/18163682,24.48
19,https://www.cnblogs.com/i4004/p/18163612,21.51
20,https://www.cnblogs.com/wang_yb/p/18163596,22.24
21,https://www.cnblogs.com/xiadao521/p/18163513,52.93
22,https://www.cnblogs.com/paw5zx/p/18163483,20.53
23,https://www.cnblogs.com/wangzhongyang/p/18163391,22.66
24,https://www.cnblogs.com/sheng_chao/p/18163373,19.68
25,https://www.cnblogs.com/marsitman/p/18163209,20.69
26,https://www.cnblogs.com/kakarotto-chen/p/18163170,22.38
27,https://www.cnblogs.com/wlovet/p/18163178,45.19
28,https://www.cnblogs.com/zjucys/p/18163064,29.24
29,https://www.cnblogs.com/didispace/p/18163042,19.93
30,https://www.cnblogs.com/lzhdim/p/18148890,53.49
31,https://www.cnblogs.com/huaweiyun/p/18163003,38.8
32,https://www.cnblogs.com/guoxiaoyu/p/18149525,21.6
33,https://www.cnblogs.com/aaronlinv/p/18162050,21.3
34,https://www.cnblogs.com/JavaBuild/p/18162934,21.63
35,https://www.cnblogs.com/python120/p/18162859,27.33
36,https://www.cnblogs.com/xueweihan/p/18162468,38.26
37,https://www.cnblogs.com/xiao2shiqi/p/18162913,23.54
38,https://www.cnblogs.com/Can-daydayup/p/18162360,28.98
39,https://www.cnblogs.com/rottenorange-cn/p/18162735,20.94
40,https://www.cnblogs.com/henjay724/p/18162722,21.34
41,https://www.cnblogs.com/jackieathome/p/18162458,21.21
42,https://www.cnblogs.com/-867259206/p/18162266,23.23
43,https://www.cnblogs.com/CH13hh/p/18162356,27.52
44,https://www.cnblogs.com/didispace/p/18162337,20.47
45,https://www.cnblogs.com/halflife/p/18162222,23.02
46,https://www.cnblogs.com/pythonista/p/18162163,17.81
47,https://www.cnblogs.com/Iflyinsky/p/18162137,29.49
48,https://www.cnblogs.com/yucloud/p/18157014/Linux_Kernel_I2C,39.58
49,https://www.cnblogs.com/xuzeyu/p/18161896,18.83
50,https://www.cnblogs.com/aqi00/p/18132702,48.78
51,https://www.cnblogs.com/didispace/p/18161784,17.96
52,https://www.cnblogs.com/passion2021/p/18161186,30.0
53,https://www.cnblogs.com/CH13hh/p/18161135,22.69
54,https://www.cnblogs.com/ruanchunyi/p/18161029,20.38
55,https://www.cnblogs.com/morec/p/18161023,32.58
56,https://www.cnblogs.com/joy99/p/18160974,76.21
57,https://www.cnblogs.com/edisonfish/p/18160919,23.04
58,https://www.cnblogs.com/xiaowange/p/18160894,32.14
59,https://www.cnblogs.com/shudaoshan/p/18160887,23.86
60,https://www.cnblogs.com/androidsuperman/p/18160848,24.42
61,https://www.cnblogs.com/jiujiubashiyi/p/18160827,26.97
62,https://www.cnblogs.com/pengjiali/p/18160817,25.9
63,https://www.cnblogs.com/rottenorange-cn/p/18160806,22.04
64,https://www.cnblogs.com/lubians/p/18160720,33.05
65,https://www.cnblogs.com/yunqishequ/p/18160226,25.94
66,https://www.cnblogs.com/jzcn/p/18157890,20.38
67,https://www.cnblogs.com/blog470130547/p/18160138,20.3
68,https://www.cnblogs.com/1000hours/p/18160035,19.78
69,https://www.cnblogs.com/integratedproductdevelopment/p/18159937,19.39
70,https://www.cnblogs.com/marsitman/p/18159748,19.19
71,https://www.cnblogs.com/vivotech/p/18158106,46.98
72,https://www.cnblogs.com/txrock/p/18159596,19.81
73,https://www.cnblogs.com/zhangwencheng/p/17894709.html,29.12
74,https://www.cnblogs.com/fkxxgis/p/18159337,31.35
75,https://www.cnblogs.com/SRIGT/p/18159320,59.13
76,https://www.cnblogs.com/edgemaster/p/18159294,28.68
77,https://www.cnblogs.com/wtzbk/p/18158640,32.22
78,https://www.cnblogs.com/kdaddy/p/18159254,24.25
79,https://www.cnblogs.com/javaguide/p/18159253,21.05
80,https://www.cnblogs.com/lindexi/p/17925826.html,41.51
81,https://www.cnblogs.com/enjoyall/p/18159220,18.55
82,https://www.cnblogs.com/shanyou/p/18159206,19.67
83,https://www.cnblogs.com/hezp/p/18156704,24.92
84,https://www.cnblogs.com/nicaicai/p/18159091,22.45
85,https://www.cnblogs.com/ruanchunyi/p/18158775,48.27
